시도교육청코드,시도교육청명,표준학교코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210625,100,쌀밥<br/>계란찜1.2.5.6.9.13.<br/>가지나물5.6.<br/>제육고추장볶음5.6.10.13.<br/>깍두기(완)9.13.<br/>쌈채소&야채스틱<br/>청국장찌개5.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,953.7 Kcal,탄수화물(g) : 122.2<br/>단백질(g) : 65.1<br/>지방(g) : 27.4<br/>비타민A(R.E) : 824.8<br/>티아민(mg) : 1.1<br/>리보플라빈(mg) : 1.5<br/>비타민C(mg) : 38.1<br/>칼슘(mg) : 269.4<br/>철분(mg) : 7.2,20210702
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210624,929,쌀밥<br/>열무국수1.3.5.6.13.<br/>배추김치9.13.<br/>부추생채10.13.<br/>요거트과일샐러드1.2.4.5.6.11.12.13.<br/>피쉬앤칩스1.2.5.6.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,963.1 Kcal,탄수화물(g) : 151.9<br/>단백질(g) : 28.0<br/>지방(g) : 25.7<br/>비타민A(R.E) : 175.8<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 14.8<br/>칼슘(mg) : 170.8<br/>철분(mg) : 3.2,20210701
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210623,929,철판김치볶음밥1.5.6.9.10.13.<br/>팽이버섯장국5.6.13.<br/>수제비프퀘사디아2.5.6.10.12.13.<br/>깍두기9.13.<br/>파인애플쥬스5.13.<br/>단호박고구마범벅1.5.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,1022.5 Kcal,탄수화물(g) : 168.3<br/>단백질(g) : 41.6<br/>지방(g) : 23.4<br/>비타민A(R.E) : 441.1<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 45.4<br/>칼슘(mg) : 328.4<br/>철분(mg) : 4.3,20210630
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210622,929,혼합잡곡밥5.<br/>불낙볶음2.5.6.13.<br/>근대된장국5.6.13.<br/>콩나물맛살냉채5.13.<br/>모듬야채전5.6.<br/>배추김치9.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,797.2 Kcal,탄수화물(g) : 131.3<br/>단백질(g) : 45.1<br/>지방(g) : 11.4<br/>비타민A(R.E) : 350.5<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 17.4<br/>칼슘(mg) : 142.0<br/>철분(mg) : 4.9,20210629
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210621,929,게란실파국1.5.6.13.<br/>시금치나물<br/>마파두부덮밥5.6.10.12.13.<br/>고추잡채&꽃빵1.2.5.6.10.13.<br/>만두탕수1.5.6.10.11.12.13.<br/>배추김치9.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,908.7 Kcal,탄수화물(g) : 129.3<br/>단백질(g) : 55.3<br/>지방(g) : 19.2<br/>비타민A(R.E) : 424.7<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 26.3<br/>칼슘(mg) : 180.3<br/>철분(mg) : 8.9,20210628
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210618,947,삼색소보루비빔밥1.2.5.6.9.10.13.<br/>가쓰오유부국1.5.6.9.13.<br/>살사치킨까스1.5.6.10.12.13.18.<br/>깍두기9.13.<br/>참외<br/>양배추샐러드1.2.5.6.9.11.12.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,866.6 Kcal,탄수화물(g) : 108.8<br/>단백질(g) : 46.4<br/>지방(g) : 27.3<br/>비타민A(R.E) : 320.1<br/>티아민(mg) : 1.1<br/>리보플라빈(mg) : 1.2<br/>비타민C(mg) : 23.1<br/>칼슘(mg) : 186.3<br/>철분(mg) : 8.2,20210625
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210617,947,기장밥<br/>육개장1.5.6.13.16.<br/>돼지갈비찜5.6.10.13.<br/>오징어초무침13.<br/>마늘쫑멸치볶음4.5.13.<br/>배추김치9.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,921.2 Kcal,탄수화물(g) : 113.0<br/>단백질(g) : 56.5<br/>지방(g) : 27.6<br/>비타민A(R.E) : 230.3<br/>티아민(mg) : 1.1<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 21.3<br/>칼슘(mg) : 193.9<br/>철분(mg) : 3.9,20210624
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210616,947,크림소스스파게티1.2.5.6.10.12.13.16.18.<br/>야채스프1.2.5.6.13.<br/>미트볼라따뚜이1.2.5.6.10.11.12.13.<br/>모듬야채피클13.<br/>수제레몬에이드5.13.<br/>망고샐러드1.2.5.6.9.11.12.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,1258.2 Kcal,탄수화물(g) : 166.1<br/>단백질(g) : 33.6<br/>지방(g) : 55.6<br/>비타민A(R.E) : 295.5<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 38.6<br/>칼슘(mg) : 155.0<br/>철분(mg) : 3.5,20210623
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210615,947,차조밥<br/>호박고추장찌개5.6.10.13.<br/>참치마요&구이김5.6.13.<br/>미나리초무침13.<br/>배추김치9.13.<br/>데리야끼닭살볶음5.6.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,911.0 Kcal,탄수화물(g) : 114.1<br/>단백질(g) : 60.7<br/>지방(g) : 25.6<br/>비타민A(R.E) : 170.1<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 24.9<br/>칼슘(mg) : 116.9<br/>철분(mg) : 3.8,20210622
B10,서울특별시교육청,7010083,서울고등학교,2,중식,20210614,947,혼합잡곡밥5.<br/>건새우아욱국5.6.13.<br/>탕평채5.6.10.13.<br/>김치치즈떡갈비2.5.6.10.12.13.<br/>백김치9.13.<br/>오미자쥬스5.13.<br/>수리취떡5.6.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,955.4 Kcal,탄수화물(g) : 146.3<br/>단백질(g) : 39.4<br/>지방(g) : 23.8<br/>비타민A(R.E) : 257.6<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 25.7<br/>칼슘(mg) : 269.6<br/>철분(mg) : 5.6,20210621
